iter	Passed	Remaining
0	58	58287
1	58	29253
2	58	19601
3	59	14788
4	59	11891
5	60	9950
6	60	8569
7	60	7533
8	61	6721
9	61	6073
10	61	5551
11	62	5111
12	62	4754
13	63	4440
14	63	4165
15	63	3921
16	64	3707
17	64	3523
18	64	3350
19	65	3199
20	65	3064
21	66	2937
22	66	2819
23	66	2716
24	67	2618
25	67	2528
26	67	2443
27	68	2364
28	68	2292
29	68	2223
30	69	2157
31	69	2096
32	69	2039
33	69	1986
34	70	1935
35	70	1887
36	70	1841
37	71	1799
38	71	1758
39	71	1723
40	72	1690
41	72	1656
42	73	1625
43	73	1592
44	73	1562
45	73	1533
46	74	1505
47	74	1480
48	74	1455
49	75	1430
50	75	1406
51	75	1384
52	76	1361
53	76	1340
54	76	1319
55	77	1299
56	77	1280
57	77	1261
58	77	1243
59	78	1226
60	78	1210
61	78	1193
62	79	1177
63	79	1163
64	79	1150
65	80	1136
66	80	1122
67	80	1105
68	80	1092
69	81	1080
70	81	1068
71	81	1056
72	82	1044
73	82	1033
74	82	1021
75	83	1011
76	83	1000
77	83	989
78	84	980
79	84	971
80	84	962
81	85	953
82	85	944
83	85	936
84	86	925
85	86	917
86	86	907
87	86	899
88	87	891
89	87	883
90	87	875
91	87	868
92	88	861
93	88	854
94	88	847
95	89	840
96	89	833
97	89	827
98	90	820
99	90	814
100	90	807
101	90	799
102	91	793
103	91	787
104	91	781
105	92	776
106	92	770
107	92	764
108	92	759
109	93	754
110	93	748
111	93	743
112	94	738
113	94	733
114	94	728
115	94	723
116	95	719
117	95	714
118	95	709
119	96	704
120	96	699
121	96	695
122	96	690
123	97	686
124	97	682
125	97	678
126	98	674
127	98	669
128	98	665
129	98	661
130	99	658
131	99	654
132	99	651
133	100	647
134	100	643
135	100	639
136	100	635
137	101	631
138	101	628
139	101	625
140	102	622
141	102	619
142	102	616
143	103	612
144	103	610
145	103	607
146	104	604
147	104	601
148	104	598
149	105	595
150	105	592
151	105	589
152	106	587
153	106	585
154	106	582
155	107	580
156	107	577
157	107	574
158	108	572
159	108	570
160	108	567
161	109	565
162	109	563
163	110	561
164	110	558
165	110	556
166	111	553
167	111	551
168	111	548
169	111	546
170	112	543
171	112	541
172	112	538
173	113	536
174	113	534
175	113	532
176	114	530
177	114	527
178	114	525
179	114	523
180	115	520
181	115	518
182	115	516
183	116	514
184	116	512
185	116	510
186	116	508
187	117	506
188	117	504
189	117	502
190	118	501
191	118	499
192	119	497
193	119	496
194	119	494
195	120	492
196	120	490
197	120	489
198	121	487
199	121	485
200	121	484
201	122	482
202	122	480
203	122	478
204	123	477
205	123	475
206	123	474
207	124	472
208	124	470
209	124	468
210	124	466
211	125	465
212	125	463
213	125	461
214	126	460
215	126	459
216	126	457
217	127	456
218	127	454
219	127	453
220	128	451
221	128	450
222	128	448
223	129	447
224	129	445
225	129	443
226	129	442
227	130	440
228	130	439
229	130	437
230	131	436
231	131	434
232	131	433
233	132	432
234	132	430
235	132	429
236	133	428
237	133	427
238	133	426
239	134	424
240	134	423
241	134	422
242	135	420
243	135	419
244	135	417
245	135	416
246	136	415
247	136	414
248	136	413
249	137	411
250	137	410
251	137	409
252	138	408
253	138	407
254	139	406
255	139	405
256	139	403
257	140	402
258	140	401
259	140	400
260	141	399
261	141	398
262	141	396
263	141	395
264	142	394
265	142	393
266	142	392
267	143	391
268	143	390
269	143	389
270	144	388
271	144	386
272	144	385
273	145	385
274	145	384
275	146	383
276	146	381
277	146	381
278	147	380
279	147	379
280	148	378
281	148	377
282	148	376
283	149	375
284	149	375
285	149	374
286	150	373
287	150	372
288	151	371
289	151	370
290	151	369
291	152	368
292	152	367
293	152	367
294	153	366
295	153	365
296	154	365
297	154	364
298	155	363
299	155	362
300	155	361
301	156	360
302	156	360
303	156	359
304	157	358
305	157	357
306	157	356
307	158	355
308	158	354
309	158	353
310	159	352
311	159	351
312	159	351
313	160	350
314	160	349
315	160	348
316	161	347
317	161	346
318	161	345
319	162	344
320	162	343
321	162	343
322	163	342
323	163	341
324	163	340
325	164	339
326	164	338
327	164	337
328	165	336
329	165	335
330	165	334
331	165	333
332	166	333
333	166	332
334	166	331
335	167	330
336	167	329
337	167	328
338	168	327
339	168	326
340	168	326
341	169	325
342	169	324
343	169	323
344	169	322
345	170	321
346	170	320
347	170	320
348	171	319
349	171	318
350	171	317
351	172	316
352	172	315
353	172	314
354	172	314
355	173	313
356	173	312
357	173	311
358	173	310
359	174	309
360	174	308
361	174	307
362	174	306
363	175	305
364	175	305
365	175	304
366	175	303
367	176	302
368	176	301
369	176	300
370	177	300
371	177	299
372	177	298
373	177	297
374	178	296
375	178	296
376	178	295
377	178	294
378	179	293
379	179	292
380	179	291
381	179	290
382	180	290
383	180	289
384	180	288
385	180	287
386	181	286
387	181	285
388	181	285
389	181	284
390	181	283
391	182	282
392	182	281
393	182	281
394	183	280
395	183	279
396	183	278
397	183	277
398	184	277
399	184	276
400	184	275
401	184	274
402	185	274
403	185	273
404	185	272
405	185	271
406	186	271
407	186	270
408	186	269
409	186	268
410	187	268
411	187	267
412	187	266
413	187	265
414	188	265
415	188	264
416	188	263
417	188	262
418	189	262
419	189	261
420	189	260
421	189	260
422	190	259
423	190	258
424	190	257
425	190	257
426	191	256
427	191	255
428	191	255
429	191	254
430	192	253
431	192	253
432	192	252
433	192	251
434	193	250
435	193	250
436	193	249
437	193	248
438	194	248
439	194	247
440	194	246
441	194	246
442	195	245
443	195	244
444	195	244
445	195	243
446	196	242
447	196	241
448	196	241
449	196	240
450	197	239
451	197	239
452	197	238
453	197	237
454	198	237
455	198	236
456	198	235
457	198	235
458	198	234
459	199	233
460	199	233
461	199	232
462	199	231
463	200	231
464	200	230
465	200	229
466	200	229
467	201	228
468	201	227
469	201	227
470	201	226
471	202	226
472	202	225
473	202	224
474	202	224
475	203	223
476	203	223
477	203	222
478	203	221
479	204	221
480	204	220
481	204	219
482	204	219
483	205	218
484	205	218
485	205	217
486	205	216
487	206	216
488	206	215
489	206	215
490	207	214
491	207	214
492	207	213
493	207	212
494	208	212
495	208	211
496	208	211
497	208	210
498	209	209
499	209	209
500	209	208
501	209	208
502	210	207
503	210	207
504	210	206
505	210	205
506	211	205
507	211	204
508	211	204
509	211	203
510	212	203
511	212	202
512	212	201
513	213	201
514	213	200
515	213	200
516	213	199
517	214	199
518	214	198
519	214	198
520	214	197
521	215	196
522	215	196
523	215	195
524	215	195
525	216	194
526	216	194
527	216	193
528	216	193
529	217	192
530	217	191
531	217	191
532	217	190
533	218	190
534	218	189
535	218	189
536	218	188
537	219	188
538	219	187
539	219	187
540	219	186
541	220	185
542	220	185
543	220	184
544	220	184
545	221	183
546	221	183
547	221	182
548	221	182
549	222	181
550	222	181
551	222	180
552	222	180
553	223	179
554	223	179
555	223	178
556	223	178
557	224	177
558	224	176
559	224	176
560	224	175
561	225	175
562	225	174
563	225	174
564	225	173
565	226	173
566	226	172
567	226	172
568	227	171
569	227	171
570	227	170
571	227	170
572	228	169
573	228	169
574	228	168
575	228	168
576	229	167
577	229	167
578	229	167
579	229	166
580	230	166
581	230	165
582	230	165
583	230	164
584	231	164
585	231	163
586	231	163
587	232	162
588	232	162
589	232	161
590	232	161
591	233	160
592	233	160
593	233	159
594	233	159
595	234	158
596	234	158
597	234	157
598	234	157
599	235	156
600	235	156
601	235	155
602	235	155
603	235	154
604	236	154
605	236	153
606	236	153
607	237	152
608	237	152
609	237	151
610	237	151
611	238	150
612	238	150
613	238	149
614	238	149
615	239	149
616	239	148
617	239	148
618	239	147
619	240	147
620	240	146
621	240	146
622	240	145
623	241	145
624	241	144
625	241	144
626	241	143
627	242	143
628	242	142
629	242	142
630	242	142
631	243	141
632	243	141
633	243	140
634	243	140
635	244	139
636	244	139
637	244	138
638	244	138
639	245	137
640	245	137
641	245	137
642	246	136
643	246	136
644	246	135
645	246	135
646	247	134
647	247	134
648	247	133
649	247	133
650	248	132
651	248	132
652	248	132
653	248	131
654	249	131
655	249	130
656	249	130
657	249	129
658	250	129
659	250	128
660	250	128
661	250	128
662	251	127
663	251	127
664	251	126
665	251	126
666	252	125
667	252	125
668	252	125
669	252	124
670	253	124
671	253	123
672	253	123
673	253	122
674	254	122
675	254	121
676	254	121
677	254	121
678	255	120
679	255	120
680	255	119
681	256	119
682	256	118
683	256	118
684	256	118
685	257	117
686	257	117
687	257	116
688	257	116
689	258	116
690	258	115
691	258	115
692	259	114
693	259	114
694	259	113
695	259	113
696	260	113
697	260	112
698	260	112
699	260	111
700	261	111
701	261	110
702	261	110
703	261	110
704	262	109
705	262	109
706	262	108
707	262	108
708	263	107
709	263	107
710	263	107
711	263	106
712	264	106
713	264	105
714	264	105
715	264	105
716	265	104
717	265	104
718	265	103
719	266	103
720	266	103
721	266	102
722	266	102
723	267	101
724	267	101
725	267	101
726	267	100
727	268	100
728	268	99
729	268	99
730	268	98
731	269	98
732	269	98
733	269	97
734	269	97
735	270	96
736	270	96
737	270	96
738	271	95
739	271	95
740	271	94
741	271	94
742	272	94
743	272	93
744	272	93
745	272	92
746	273	92
747	273	92
748	273	91
749	274	91
750	274	90
751	274	90
752	274	90
753	275	89
754	275	89
755	275	88
756	275	88
757	276	88
758	276	87
759	276	87
760	276	86
761	277	86
762	277	86
763	277	85
764	277	85
765	278	84
766	278	84
767	278	84
768	278	83
769	279	83
770	279	82
771	279	82
772	279	82
773	280	81
774	280	81
775	280	81
776	280	80
777	281	80
778	281	79
779	281	79
780	281	79
781	282	78
782	282	78
783	282	77
784	283	77
785	283	77
786	283	76
787	283	76
788	284	75
789	284	75
790	284	75
791	284	74
792	285	74
793	285	74
794	285	73
795	285	73
796	286	72
797	286	72
798	286	72
799	286	71
800	287	71
801	287	70
802	287	70
803	287	70
804	288	69
805	288	69
806	288	69
807	289	68
808	289	68
809	289	67
810	289	67
811	290	67
812	290	66
813	290	66
814	290	66
815	291	65
816	291	65
817	291	64
818	291	64
819	292	64
820	292	63
821	292	63
822	292	62
823	293	62
824	293	62
825	293	61
826	293	61
827	294	61
828	294	60
829	294	60
830	294	59
831	295	59
832	295	59
833	295	58
834	295	58
835	296	58
836	296	57
837	296	57
838	296	56
839	297	56
840	297	56
841	297	55
842	297	55
843	298	55
844	298	54
845	298	54
846	298	54
847	299	53
848	299	53
849	299	52
850	299	52
851	300	52
852	300	51
853	300	51
854	301	51
855	301	50
856	301	50
857	301	49
858	302	49
859	302	49
860	302	48
861	302	48
862	303	48
863	303	47
864	303	47
865	304	47
866	304	46
867	304	46
868	304	45
869	305	45
870	305	45
871	305	44
872	305	44
873	306	44
874	306	43
875	306	43
876	306	43
877	307	42
878	307	42
879	307	41
880	307	41
881	308	41
882	308	40
883	308	40
884	308	40
885	309	39
886	309	39
887	309	39
888	309	38
889	310	38
890	310	37
891	310	37
892	310	37
893	311	36
894	311	36
895	311	36
896	311	35
897	312	35
898	312	35
899	312	34
900	312	34
901	313	34
902	313	33
903	313	33
904	313	32
905	314	32
906	314	32
907	314	31
908	314	31
909	315	31
910	315	30
911	315	30
912	315	30
913	316	29
914	316	29
915	316	29
916	317	28
917	317	28
918	317	27
919	317	27
920	318	27
921	318	26
922	318	26
923	318	26
924	319	25
925	319	25
926	319	25
927	319	24
928	320	24
929	320	24
930	320	23
931	320	23
932	321	23
933	321	22
934	321	22
935	321	22
936	322	21
937	322	21
938	322	20
939	322	20
940	323	20
941	323	19
942	323	19
943	324	19
944	324	18
945	324	18
946	324	18
947	325	17
948	325	17
949	325	17
950	325	16
951	326	16
952	326	16
953	326	15
954	326	15
955	327	15
956	327	14
957	327	14
958	327	14
959	328	13
960	328	13
961	328	12
962	328	12
963	329	12
964	329	11
965	329	11
966	329	11
967	330	10
968	330	10
969	330	10
970	330	9
971	331	9
972	331	9
973	331	8
974	331	8
975	332	8
976	332	7
977	332	7
978	332	7
979	333	6
980	333	6
981	333	6
982	334	5
983	334	5
984	334	5
985	334	4
986	335	4
987	335	4
988	335	3
989	336	3
990	336	3
991	336	2
992	336	2
993	337	2
994	337	1
995	337	1
996	337	1
997	338	0
998	338	0
999	338	0
