iter	Passed	Remaining
0	57	57671
1	58	29068
2	58	19447
3	58	14638
4	59	11779
5	59	9852
6	59	8493
7	60	7464
8	60	6666
9	60	6029
10	61	5509
11	61	5074
12	62	4710
13	62	4389
14	62	4114
15	63	3876
16	63	3666
17	63	3478
18	64	3312
19	64	3159
20	64	3021
21	65	2896
22	65	2779
23	65	2672
24	66	2575
25	66	2486
26	66	2403
27	67	2327
28	67	2255
29	67	2187
30	67	2123
31	68	2064
32	68	2007
33	68	1956
34	69	1908
35	69	1861
36	69	1817
37	70	1775
38	70	1735
39	70	1696
40	71	1661
41	71	1629
42	72	1614
43	73	1586
44	73	1559
45	73	1533
46	74	1506
47	74	1479
48	75	1456
49	75	1431
50	75	1408
51	75	1384
52	76	1365
53	76	1343
54	76	1322
55	77	1303
56	77	1283
57	77	1264
58	78	1246
59	78	1229
60	78	1213
61	79	1197
62	79	1181
63	79	1166
64	80	1151
65	80	1137
66	80	1124
67	81	1111
68	81	1098
69	81	1086
70	82	1073
71	82	1061
72	82	1050
73	82	1038
74	83	1026
75	83	1016
76	84	1007
77	84	996
78	84	987
79	85	978
80	85	970
81	86	962
82	86	952
83	86	944
84	87	936
85	87	929
86	87	922
87	88	915
88	88	907
89	88	899
90	89	891
91	89	884
92	89	877
93	90	870
94	90	863
95	90	855
96	91	849
97	91	843
98	92	837
99	92	831
100	92	824
101	92	818
102	93	811
103	93	805
104	93	799
105	94	794
106	94	788
107	94	782
108	95	777
109	95	772
110	95	767
111	96	762
112	96	757
113	96	752
114	97	747
115	97	742
116	97	736
117	97	731
118	98	727
119	98	723
120	99	719
121	99	714
122	99	709
123	99	705
124	100	701
125	100	697
126	100	692
127	101	689
128	101	685
129	101	681
130	102	677
131	102	674
132	102	670
133	103	666
134	103	663
135	103	659
136	104	657
137	104	655
138	105	651
139	105	648
140	105	644
141	106	640
142	106	637
143	106	634
144	106	630
145	107	627
146	107	625
147	108	623
148	108	620
149	108	616
150	109	613
151	109	610
152	109	608
153	110	605
154	110	602
155	110	599
156	111	596
157	111	593
158	111	591
159	112	588
160	112	585
161	112	582
162	112	579
163	113	576
164	113	574
165	113	572
166	114	569
167	114	566
168	114	564
169	115	562
170	115	559
171	115	556
172	116	555
173	116	553
174	116	550
175	117	548
176	117	546
177	117	543
178	118	541
179	118	539
180	118	537
181	119	534
182	119	533
183	119	530
184	120	528
185	120	526
186	121	526
187	121	524
188	121	522
189	121	520
190	122	518
191	122	516
192	123	514
193	123	512
194	123	510
195	124	509
196	124	507
197	124	505
198	125	504
199	125	501
200	125	499
201	126	498
202	126	496
203	126	494
204	126	492
205	127	491
206	127	489
207	128	487
208	128	485
209	128	484
210	129	482
211	129	481
212	129	479
213	130	477
214	130	476
215	130	474
216	131	472
217	131	471
218	131	469
219	132	468
220	132	466
221	132	464
222	133	463
223	133	461
224	133	460
225	133	458
226	134	457
